Habit,Date,Value,Unit,Tag,Habit Type
"15 Hours of Math, new note taking",2026-04-13,1.8,hr,,Build
"15 Hours of Math, new note taking",2026-04-14,4.8,hr,,Build
"15 Hours of Math, new note taking",2026-04-15,0.88,hr,,Build
"15 Hours of Math, new note taking",2026-04-18,1.87,hr,,Build
"15 Hours of Math, new note taking",2026-04-19,1.6,hr,,Build
"15 Hours of Math, new note taking",2026-04-21,0.85,hr,,Build
"15 Hours of Math, new note taking",2026-04-22,1.92,hr,,Build
"15 Hours of Math, new note taking",2026-04-24,0.77,hr,,Build
"15 Hours of Math, new note taking",2026-04-27,1,hr,,Build
"15 Hours of Math, new note taking",2026-04-28,2.17,hr,,Build
"15 Hours of Math, new note taking",2026-04-29,4.1,hr,,Build
"15 Hours of Math, new note taking",2026-04-30,3.6,hr,,Build
"15 Hours of Math, new note taking",2026-05-01,0.87,hr,,Build
"15 Hours of Math, new note taking",2026-05-06,2.57,hr,,Build
"15 Hours of Math, new note taking",2026-05-07,2.38,hr,,Build
5 hours Non-Math Work,2026-02-13,2,hr,Productivity,Build
5 hours Non-Math Work,2026-02-14,5.5,hr,Productivity,Build
5 hours Non-Math Work,2026-02-17,3.33,hr,Productivity,Build
5 hours Non-Math Work,2026-02-21,3.5,hr,Productivity,Build
5 hours Non-Math Work,2026-02-22,1,hr,Productivity,Build
5 hours Non-Math Work,2026-02-24,2,hr,Productivity,Build
5 hours Non-Math Work,2026-03-04,0.42,hr,Productivity,Build
5 hours Non-Math Work,2026-03-06,2,hr,Productivity,Build
5 hours Non-Math Work,2026-03-09,2.17,hr,Productivity,Build
5 hours Non-Math Work,2026-03-13,1,hr,Productivity,Build
5 hours Non-Math Work,2026-03-17,0.54,hr,Productivity,Build
5 hours Non-Math Work,2026-03-20,0.83,hr,Productivity,Build
5 hours Non-Math Work,2026-03-23,2.33,hr,Productivity,Build
5 hours Non-Math Work,2026-03-24,1.42,hr,Productivity,Build
5 hours Non-Math Work,2026-03-25,0.08,hr,Productivity,Build
5 hours Non-Math Work,2026-03-26,0.87,hr,Productivity,Build
5 hours Non-Math Work,2026-03-28,0.25,hr,Productivity,Build
5 hours Non-Math Work,2026-03-29,0.65,hr,Productivity,Build
5 hours Non-Math Work,2026-03-30,1.68,hr,Productivity,Build
5 hours Non-Math Work,2026-04-02,0.72,hr,Productivity,Build
5 hours Non-Math Work,2026-04-03,0.62,hr,Productivity,Build
5 hours Non-Math Work,2026-04-06,0.6,hr,Productivity,Build
5 hours Non-Math Work,2026-04-08,1.53,hr,Productivity,Build
5 hours Non-Math Work,2026-04-09,0.75,hr,Productivity,Build
5 hours Non-Math Work,2026-04-10,1.72,hr,Productivity,Build
5 hours Non-Math Work,2026-04-13,1.31,hr,Productivity,Build
5 hours Non-Math Work,2026-04-14,0.57,hr,Productivity,Build
5 hours Non-Math Work,2026-04-15,4.3,hr,Productivity,Build
5 hours Non-Math Work,2026-04-17,1.13,hr,Productivity,Build
5 hours Non-Math Work,2026-04-18,0.87,hr,Productivity,Build
5 hours Non-Math Work,2026-04-19,0.33,hr,Productivity,Build
5 hours Non-Math Work,2026-04-21,1.4,hr,Productivity,Build
5 hours Non-Math Work,2026-04-22,0.63,hr,Productivity,Build
5 hours Non-Math Work,2026-04-23,1.25,hr,Productivity,Build
5 hours Non-Math Work,2026-04-24,1,hr,Productivity,Build
5 hours Non-Math Work,2026-04-26,2.42,hr,Productivity,Build
5 hours Non-Math Work,2026-04-27,2.68,hr,Productivity,Build
5 hours Non-Math Work,2026-04-28,0.1,hr,Productivity,Build
5 hours Non-Math Work,2026-04-30,0.33,hr,Productivity,Build
5 hours Non-Math Work,2026-05-01,2.17,hr,Productivity,Build
5 hours Non-Math Work,2026-05-06,1.45,hr,Productivity,Build
3h Tutoring JB,2026-02-22,3.5,hr,,Build
3h Tutoring JB,2026-02-25,0.75,hr,,Build
3h Tutoring JB,2026-03-04,0.6,hr,,Build
3h Tutoring JB,2026-03-05,0.25,hr,,Build
3h Tutoring JB,2026-03-06,0.5,hr,,Build
3h Tutoring JB,2026-03-07,2,hr,,Build
3h Tutoring JB,2026-03-08,1.25,hr,,Build
3h Tutoring JB,2026-03-11,0.25,hr,,Build
3h Tutoring JB,2026-03-15,1,hr,,Build
3h Tutoring JB,2026-03-17,0.27,hr,,Build
3h Tutoring JB,2026-03-18,0.1,hr,,Build
3h Tutoring JB,2026-03-19,0.2,hr,,Build
3h Tutoring JB,2026-03-20,1,hr,,Build
3h Tutoring JB,2026-03-21,2,hr,,Build
3h Tutoring JB,2026-03-22,0.5,hr,,Build
3h Tutoring JB,2026-03-23,0.25,hr,,Build
3h Tutoring JB,2026-03-25,0.25,hr,,Build
3h Tutoring JB,2026-03-29,2.72,hr,,Build
3h Tutoring JB,2026-04-02,0.25,hr,,Build
3h Tutoring JB,2026-04-04,2,hr,,Build
3h Tutoring JB,2026-04-07,0.22,hr,,Build
3h Tutoring JB,2026-04-08,0.03,hr,,Build
3h Tutoring JB,2026-04-09,0.17,hr,,Build
3h Tutoring JB,2026-04-10,0.13,hr,,Build
3h Tutoring JB,2026-04-13,0.32,hr,,Build
3h Tutoring JB,2026-04-19,0.42,hr,,Build
3h Tutoring JB,2026-04-20,0.08,hr,,Build
3h Tutoring JB,2026-04-22,0.25,hr,,Build
3h Tutoring JB,2026-04-25,2,hr,,Build
3h Tutoring JB,2026-04-27,0.28,hr,,Build
3h Tutoring JB,2026-04-30,0.62,hr,,Build
3h Tutoring JB,2026-05-01,0.25,hr,,Build
3h Tutoring JB,2026-05-02,2,hr,,Build
3h Tutoring JB,2026-05-03,0.37,hr,,Build
2 Hours Stranger Socializing,2026-02-15,3,hr,,Build
2 Hours Stranger Socializing,2026-02-18,1,hr,,Build
2 Hours Stranger Socializing,2026-02-19,2.5,hr,,Build
2 Hours Stranger Socializing,2026-02-21,6,hr,,Build
2 Hours Stranger Socializing,2026-02-23,3.5,hr,,Build
2 Hours Stranger Socializing,2026-03-07,4,hr,,Build
2 Hours Stranger Socializing,2026-03-11,3,hr,,Build
2 Hours Stranger Socializing,2026-03-15,5,hr,,Build
2 Hours Stranger Socializing,2026-03-17,2.83,hr,,Build
2 Hours Stranger Socializing,2026-03-19,0,hr,,Build
2 Hours Stranger Socializing,2026-03-21,3,hr,,Build
2 Hours Stranger Socializing,2026-03-25,3,hr,,Build
2 Hours Stranger Socializing,2026-03-29,4,hr,,Build
2 Hours Stranger Socializing,2026-03-31,2.5,hr,,Build
2 Hours Stranger Socializing,2026-04-04,2.5,hr,,Build
2 Hours Stranger Socializing,2026-04-07,3,hr,,Build
2 Hours Stranger Socializing,2026-04-11,1.67,hr,,Build
2 Hours Stranger Socializing,2026-04-12,6,hr,,Build
2 Hours Stranger Socializing,2026-04-25,2.5,hr,,Build
2 Hours Stranger Socializing,2026-04-28,3,hr,,Build
2 Hours Stranger Socializing,2026-05-02,4.2,hr,,Build
2 Hours Stranger Socializing,2026-05-03,3,hr,,Build
2 hours Friend Quality Time,2026-02-13,3,hr,Socializing,Build
2 hours Friend Quality Time,2026-02-14,0.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-02-17,2,hr,Socializing,Build
2 hours Friend Quality Time,2026-02-18,4,hr,Socializing,Build
2 hours Friend Quality Time,2026-02-21,3.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-02-22,2,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-06,0,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-07,2.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-08,5,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-10,3,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-11,1.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-12,6.25,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-15,3,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-16,6.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-19,3,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-22,3,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-23,3,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-29,2,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-30,2.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-03-31,0.83,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-04,4,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-06,2,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-07,1.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-11,6,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-13,2.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-21,3.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-24,5,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-25,1,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-26,3.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-27,2.2,hr,Socializing,Build
2 hours Friend Quality Time,2026-04-30,0.95,hr,Socializing,Build
2 hours Friend Quality Time,2026-05-02,5.5,hr,Socializing,Build
2 hours Friend Quality Time,2026-05-03,2,hr,Socializing,Build
Exposure Therapy,2026-03-28,2,,,Build
Exposure Therapy,2026-03-29,1,,,Build
Exposure Therapy,2026-04-09,1,,,Build
Exposure Therapy,2026-04-14,2,,,Build
Exposure Therapy,2026-04-22,2,,,Build
Exposure Therapy,2026-04-25,1,,,Build
Exposure Therapy,2026-04-26,1,,,Build
Exposure Therapy,2026-05-01,2,,,Build
Exposure Therapy,2026-05-03,1,,,Build
Exposure Therapy,2026-05-06,1,,,Build
10min Spanish Practice,2026-03-28,1,,,Build
10min Spanish Practice,2026-04-25,1,,,Build
10min Spanish Practice,2026-05-03,1,,,Build
Airplane Time 30m,2026-04-10,30,min,,Build
Airplane Time 30m,2026-04-16,30,min,,Build
Airplane Time 30m,2026-04-20,30,min,,Build
Airplane Time 30m,2026-04-21,0,min,,Build
Airplane Time 30m,2026-05-03,30,min,,Build
2 a month Sabbath,2026-04-12,1,,,Build
2 a month Sabbath,2026-04-25,1,,,Build
2 a month Sabbath,2026-05-02,1,,,Build
3 Days where I did enough! (6h goal),2026-04-21,1,,,Build
3 Days where I did enough! (6h goal),2026-04-23,1,,,Build
3 Days where I did enough! (6h goal),2026-04-29,1,,,Build
2 hours Star Item Time,2026-03-06,0.83,hr,,Build
2 hours Star Item Time,2026-03-15,1.33,hr,,Build
2 hours Star Item Time,2026-03-19,0.33,hr,,Build
2 hours Star Item Time,2026-03-25,1.25,hr,,Build
2 hours Star Item Time,2026-03-29,1,hr,,Build
2 hours Star Item Time,2026-04-22,0,hr,,Build
2 hours Star Item Time,2026-04-24,1.2,hr,,Build
2 hours Star Item Time,2026-05-03,0.5,hr,,Build
5 Hours Creative Time,2026-05-06,1.5,hr,Interest,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-02-14,82.37,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-03-06,50,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-03-10,50,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-03-29,30,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-04-02,60,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-04-12,60,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-04-22,39,min,,Build
"1 hr Meeting Canceled Time, Guilt Free",2026-04-25,0,min,,Build
Lift 3 times,2026-02-20,1,,,Build
Lift 3 times,2026-03-04,1,,,Build
Lift 3 times,2026-03-07,1,,,Build
Lift 3 times,2026-03-09,1,,,Build
Lift 3 times,2026-03-19,1,,,Build
Lift 3 times,2026-03-28,1,,,Build
Lift 3 times,2026-04-07,1,,,Build
Lift 3 times,2026-04-30,1,,,Build
Lift 3 times,2026-05-01,1,,,Build
100 Active Zone Minutes,2026-02-12,0,m,Movement,Build
100 Active Zone Minutes,2026-02-13,35,m,Movement,Build
100 Active Zone Minutes,2026-02-15,43,m,Movement,Build
100 Active Zone Minutes,2026-02-20,54,m,Movement,Build
100 Active Zone Minutes,2026-03-07,60,m,Movement,Build
100 Active Zone Minutes,2026-03-09,12,m,Movement,Build
100 Active Zone Minutes,2026-03-15,48,m,Movement,Build
100 Active Zone Minutes,2026-03-22,59,m,Movement,Build
100 Active Zone Minutes,2026-03-25,53,m,Movement,Build
100 Active Zone Minutes,2026-03-28,30,m,Movement,Build
100 Active Zone Minutes,2026-03-31,44,m,Movement,Build
100 Active Zone Minutes,2026-04-05,14,m,Movement,Build
100 Active Zone Minutes,2026-04-07,29,m,Movement,Build
100 Active Zone Minutes,2026-04-08,35,m,Movement,Build
100 Active Zone Minutes,2026-04-12,30,m,Movement,Build
100 Active Zone Minutes,2026-04-13,0,m,Movement,Build
100 Active Zone Minutes,2026-04-14,16,m,Movement,Build
100 Active Zone Minutes,2026-04-19,70,m,Movement,Build
100 Active Zone Minutes,2026-04-20,25,m,Movement,Build
100 Active Zone Minutes,2026-04-22,14,m,Movement,Build
100 Active Zone Minutes,2026-04-23,52,m,Movement,Build
100 Active Zone Minutes,2026-04-27,11,m,Movement,Build
100 Active Zone Minutes,2026-05-01,21,m,Movement,Build
100 Active Zone Minutes,2026-05-03,69,m,Movement,Build
100 Active Zone Minutes,2026-05-06,158,m,Movement,Build
Helping Momo,2026-03-05,1,hr,,Build
Helping Momo,2026-03-24,3,hr,,Build
Helping Momo,2026-03-25,0,hr,,Build
Helping Momo,2026-04-01,1.5,hr,,Build
Helping Momo,2026-04-03,1.33,hr,,Build
Helping Momo,2026-04-05,2,hr,,Build
Helping Momo,2026-04-08,0.67,hr,,Build
Helping Momo,2026-04-23,1,hr,,Build
Helping Momo,2026-04-24,1,hr,,Build
Helping Momo,2026-05-01,0.82,hr,,Build
Helping Momo,2026-05-03,0.33,hr,,Build
Meal Prep 5 and Hours,2026-02-15,5,hr,Food,Build
Meal Prep 5 and Hours,2026-02-16,4.33,hr,Food,Build
Meal Prep 5 and Hours,2026-02-21,0.67,hr,Food,Build
Meal Prep 5 and Hours,2026-03-04,1.43,hr,Food,Build
Meal Prep 5 and Hours,2026-03-05,2.5,hr,Food,Build
Meal Prep 5 and Hours,2026-03-11,3,hr,Food,Build
Meal Prep 5 and Hours,2026-03-19,0.5,hr,Food,Build
Meal Prep 5 and Hours,2026-03-24,4,hr,Food,Build
Meal Prep 5 and Hours,2026-03-25,1,hr,Food,Build
Meal Prep 5 and Hours,2026-03-31,0.83,hr,Food,Build
Meal Prep 5 and Hours,2026-04-01,3.6,hr,Food,Build
Meal Prep 5 and Hours,2026-04-02,3.12,hr,Food,Build
Meal Prep 5 and Hours,2026-04-04,0.33,hr,Food,Build
Meal Prep 5 and Hours,2026-04-06,0.83,hr,Food,Build
Meal Prep 5 and Hours,2026-04-08,1.78,hr,Food,Build
Meal Prep 5 and Hours,2026-04-10,3.17,hr,Food,Build
Meal Prep 5 and Hours,2026-04-14,0.17,hr,Food,Build
Meal Prep 5 and Hours,2026-04-21,0.67,hr,Food,Build
Meal Prep 5 and Hours,2026-04-22,1.83,hr,Food,Build
Meal Prep 5 and Hours,2026-04-23,3.53,hr,Food,Build
Meal Prep 5 and Hours,2026-04-26,3,hr,Food,Build
Meal Prep 5 and Hours,2026-04-28,4.58,hr,Food,Build
Meal Prep 5 and Hours,2026-04-29,2.5,hr,Food,Build
Meal Prep 5 and Hours,2026-05-03,0,hr,Food,Build
Meal Prep 5 and Hours,2026-05-05,4.45,hr,Food,Build
Meal Prep 5 and Hours,2026-05-06,2.23,hr,Food,Build
Family Help,2026-05-05,1.75,hr,,Build
