"","week","habit","year","total"
"48",12,"3h Finding Roommates",2026,1.89
"49",12,"3h Tutoring JB",2026,4.07
"50",12,"5 hours Non-Math Work",2026,1.37
"51",12,"Library Trips",2026,1
"52",12,"Lift 3 times",2026,1
"53",12,"Meal Prep 5 and Hours",2026,0.5
"54",13,"1 hr Meeting Canceled Time, Guilt Free",2026,30
"55",13,"100 Active Zone Minutes",2026,83
"56",13,"10min Spanish Practice",2026,1
"57",13,"15 Hours of Math, new note taking",2026,4.52
"58",13,"2 Hours Stranger Socializing",2026,7
"59",13,"2 hours Friend Quality Time",2026,5
"60",13,"2 hours Star Item Time",2026,2.25
"61",13,"3h Tutoring JB",2026,3.22
"62",13,"5 hours Non-Math Work",2026,5.6
"63",13,"Exposure Therapy",2026,3
"64",13,"Helping Momo",2026,3
"65",13,"Library Trips",2026,3
"66",13,"Lift 3 times",2026,1
"67",13,"Meal Prep 5 and Hours",2026,5
"68",14,"1 hr Meeting Canceled Time, Guilt Free",2026,60
"69",14,"100 Active Zone Minutes",2026,58
"70",14,"15 Hours of Math, new note taking",2026,7.78
"71",14,"2 Hours Stranger Socializing",2026,5
"72",14,"2 hours Friend Quality Time",2026,7.33
"73",14,"3h Finding Roommates",2026,4.19
"74",14,"3h Tutoring JB",2026,2.25
"75",14,"5 hours Non-Math Work",2026,3.02
"76",14,"Helping Momo",2026,4.83
"77",14,"Library Trips",2026,3
"78",14,"Meal Prep 5 and Hours",2026,7.88
"79",15,"1 hr Meeting Canceled Time, Guilt Free",2026,60
"80",15,"100 Active Zone Minutes",2026,94
"81",15,"15 Hours of Math, new note taking",2026,14
"82",15,"2 Hours Stranger Socializing",2026,10.67
"83",15,"2 a month Sabbath",2026,1
"84",15,"2 hours Friend Quality Time",2026,9.5
"85",15,"3h Finding Roommates",2026,1.58
"86",15,"3h Tutoring JB",2026,0.55
"87",15,"5 hours Non-Math Work",2026,4.6
"88",15,"Airplane Time 30m",2026,30
"89",15,"Exposure Therapy",2026,1
"90",15,"Helping Momo",2026,0.67
"91",15,"Library Trips",2026,3
"92",15,"Lift 3 times",2026,1
"93",15,"Meal Prep 5 and Hours",2026,5.78
"94",16,"1 Convo with Dad",2026,1
"95",16,"100 Active Zone Minutes",2026,86
"96",16,"15 Hours of Math, new note taking",2026,10.95
"97",16,"2 hours Friend Quality Time",2026,2.5
"98",16,"3h Finding Roommates",2026,1.45
"99",16,"3h Tutoring JB",2026,0.74
"100",16,"5 hours Non-Math Work",2026,8.51
"101",16,"Airplane Time 30m",2026,30
"102",16,"Exposure Therapy",2026,2
"103",16,"Library Trips",2026,3
"104",16,"Meal Prep 5 and Hours",2026,0.17
"105",17,"1 Convo with Dad",2026,0
"106",17,"1 hr Meeting Canceled Time, Guilt Free",2026,39
"107",17,"100 Active Zone Minutes",2026,91
"108",17,"10min Spanish Practice",2026,1
"109",17,"15 Hours of Math, new note taking",2026,3.54
"110",17,"2 Hours Stranger Socializing",2026,2.5
"111",17,"2 a month Sabbath",2026,1
"112",17,"2 hours Friend Quality Time",2026,13
"113",17,"2 hours Star Item Time",2026,1.2
"114",17,"3 Days where I did enough! (6h goal)",2026,2
"115",17,"3h Finding Roommates",2026,1.8
"116",17,"3h Tutoring JB",2026,2.33
"117",17,"5 hours Non-Math Work",2026,6.7
"118",17,"Airplane Time 30m",2026,30
"119",17,"Eating Meals",2026,1.39
"120",17,"Exposure Therapy",2026,4
"121",17,"Helping Momo",2026,2
"122",17,"Library Trips",2026,1
"123",17,"Meal Prep 5 and Hours",2026,9.03
"124",17,"Morning and Night Routine",2026,3.47
"125",18,"100 Active Zone Minutes",2026,101
"126",18,"10min Spanish Practice",2026,1
"127",18,"15 Hours of Math, new note taking",2026,11.74
"128",18,"2 Hours Stranger Socializing",2026,10.2
"129",18,"2 a month Sabbath",2026,1
"130",18,"2 hours Friend Quality Time",2026,10.65
"131",18,"2 hours Star Item Time",2026,0.5
"132",18,"3 Days where I did enough! (6h goal)",2026,1
"133",18,"3h Finding Roommates",2026,1.6
"134",18,"3h Tutoring JB",2026,3.52
"135",18,"5 hours Non-Math Work",2026,5.28
"136",18,"Airplane Time 30m",2026,30
"137",18,"Eating Meals",2026,1.44
"138",18,"Exposure Therapy",2026,3
"139",18,"Helping Momo",2026,1.15
"140",18,"Library Trips",2026,3
"141",18,"Lift 3 times",2026,2
"142",18,"Meal Prep 5 and Hours",2026,7.08
"143",18,"Morning and Night Routine",2026,3.31
"144",19,"100 Active Zone Minutes",2026,158
"145",19,"15 Hours of Math, new note taking",2026,4.95
"146",19,"5 Hours Creative Time",2026,1.5
"147",19,"5 hours Non-Math Work",2026,1.45
"148",19,"Eating Meals",2026,2.36
"149",19,"Exposure Therapy",2026,1
"150",19,"Family Help",2026,1.75
"151",19,"Library Trips",2026,1
"152",19,"Meal Prep 5 and Hours",2026,6.68
"153",19,"Morning and Night Routine",2026,1.03
